Output_directory is /mnt/d/These/20_data/201_genomic_data/370_and_host/host/host_strain_typing.res
Command-line arguments Namespace(input='FNA', cores=1, percentIdentityOtype=90, percentIdentityHtype=95, percentCoverageOtype=90, percentCoverageHtype=50, verify=False, output='host_strain_typing.res', refseq=None, sequence=False, debug=False, dbpath=None)
Placed lock file at /home/hugo/miniconda3/envs/phd/lib/python3.10/site-packages/ectyper/Data/.lock
Trying to download MASH sketch from https://gembox.cbcb.umd.edu/mash/refseq.genomes.k21s1000.msh.
Downloading ~700MB from https://gembox.cbcb.umd.edu/mash/refseq.genomes.k21s1000.msh.
Response code for MASH sketch download for mirror 200 is https://gembox.cbcb.umd.edu/mash/refseq.genomes.k21s1000.msh
Successfully downloaded assembly_summary_refseq.txt with response code 200
Sucessfully downloaded RefSeq MASH sketch from https://gembox.cbcb.umd.edu/mash/refseq.genomes.k21s1000.msh for species verification
Gathering genome files
Gathering genomes from directory FNA
Identifying genome file types
Folowing files were not found in the input: 
Creating combined serotype and identification fasta file
Assembling final list of fasta files
Standardizing the E.coli genome headers based on file names
Predicting serotype from blast output
Highly similar O-antigen candidates were found for ['O8', 'O32']
Highly similar O-antigen candidates were found for ['O77', 'O17', 'O44', 'O106']
Highly similar O-antigen candidates were found for ['O77', 'O17', 'O44', 'O106']
Highly similar O-antigen candidates were found for ['O77', 'O17', 'O44', 'O106']
Highly similar O-antigen candidates were found for ['O77', 'O17', 'O44', 'O106']
No H antigen alleles were identified in this sample
Highly similar O-antigen candidates were found for ['O77', 'O17', 'O44', 'O106', 'O73']
Serotype prediction completed
BLAST output file against reference alleles is written at host_strain_typing.res/blast_output_alleles.txt
Reporting results:
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ESCO.0722.00035	-	O2	H6	O2:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-15-wzy;H6-4-fliC;	100;100;100;	100;100;100;	NODE_1_length_1015888_cov_21.021220;NODE_1_length_1015888_cov_21.021220;NODE_1_length_1015888_cov_21.021220;	389439-390701;392413-393375;604346-605992;	1263;963;1647;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
ESCO.0722.00043	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	CAJDKQ010000033.1;CAJDKQ010000033.1;CAJDKQ010000006.1;	8656-9912;7313-8656;83886-85673;	1257;1344;1788;	v1.0 (11-03-2020)	-
ESCO.0722.00053	-	O83	H1	O83:H1	-	Based on 3 allele(s)	wzx:0.999;wzy:0.999;fliC:1;	O83-1-wzx-origin;O83-2-wzy-origin;H1-1-fliC-origin;	99.931;99.919;100;	100;100;100;	NODE_10_length_194951_cov_18.340807;NODE_10_length_194951_cov_18.340807;NODE_11_length_177108_cov_17.947219;	73746-75188;72515-73749;87831-89618;	1443;1236;1788;	v1.0 (11-03-2020)	-
ESCO.0722.00085	-	O83	H1	O83:H1	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O83-1-wzx-origin;O83-2-wzy-origin;H1-4-fliC;	99.931;100;100;	100;100;100;	NODE_10_length_194952_cov_14.961451;NODE_10_length_194952_cov_14.961451;NODE_11_length_177108_cov_14.814406;	119764-121206;121203-122438;87491-89278;	1443;1236;1788;	v1.0 (11-03-2020)	-
ESCO.0722.00129	-	O45	H7	O45:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O45-2-wzx-origin;O45-5-wzy-origin;H7-3-fliC-origin;	100;100;100;	100;100;100;	NODE_18_length_122283_cov_13.863836;NODE_18_length_122283_cov_13.863836;NODE_3_length_310788_cov_13.032143;	92623-93885;94842-95933;99419-101176;	1263;1092;1758;	v1.0 (11-03-2020)	-
ESCO.0722.00140	-	O83	H1	O83:H1	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O83-1-wzx-origin;O83-2-wzy-origin;H1-1-fliC-origin;	99.931;100;100;	100;100;100;	NODE_10_length_194518_cov_47.771792;NODE_10_length_194518_cov_47.771792;NODE_13_length_177415_cov_47.152503;	73441-74883;72209-73444;87831-89618;	1443;1236;1788;	v1.0 (11-03-2020)	-
ESCO.0722.00142	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	99.92;100;100;	100;100;100;	NODE_33_length_18315_cov_12.375685;NODE_33_length_18315_cov_12.375685;NODE_1_length_493005_cov_12.249942;	8861-10117;10117-11460;108655-110442;	1257;1344;1788;	v1.0 (11-03-2020)	-
ESCO.0722.00149	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	NODE_3_length_413581_cov_32.654128;NODE_3_length_413581_cov_32.654128;NODE_15_length_136477_cov_31.331860;	390518-391777;393930-394992;97170-98219;	1260;1063;1050;	v1.0 (11-03-2020)	-
ESCO.0722.00151	-	O2	H6	O2:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-15-wzy;H6-4-fliC;	100;100;100;	100;100;100;	NODE_1_length_610936_cov_24.231554;NODE_1_length_610936_cov_24.231554;NODE_2_length_584824_cov_22.699317;	32693-33955;30019-30981;407966-409612;	1263;963;1647;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
ESCO.0722.00166	-	O24	H4	O24:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O24-1-wzx-origin;O24-2-wzy-origin;H4-2-fliC-origin;	99.916;100;100;	100;100;100;	CAJDMT010000005.1;CAJDMT010000005.1;CAJDMT010000010.1;	8871-10064;10080-11132;40827-41876;	1194;1053;1050;	v1.0 (11-03-2020)	-
